first,name,organization,image (please don't edit),bioguide,twitter,state,phone,email,party affiliation,office 1,office 1 phone,office 1 geo,office 2,office 2 phone,office 2 geo,office 3,office 3 phone,office 3 geo,office 4,office 4 phone,office 4 geo,office 5,office 5 phone,office 5 geo,office 6,office 6 phone,office 6 geo,office 7,office 7 phone,office 7 geo,office 8,office 8 phone,office 8 geo,Event 1,Event 2,EFF score -4 (to,First cloture vote USAF,,,sp/co FISA Courts Reform Act (+3),"sp/co S. 1551, IOSRA (+4)",sp/co FISA Improvements Act (-4),sp/co FISA Transparency & Modernization Act (-4),sp/co Surveillance State Repeal Act (2014 or 2015) (+4),sp/co USA FREEDOM prior to 2014-05-18 (+2),voted for Conyers/Amash amendment (+4),voted for House version of USA Freedom 2014 (-2),voted for Massie-Lofgren amendment 2014 (+3),Sp/co whistleblower protection for IC employees/contractors,1st USAF cloture vote,Straight reauth,Sp/co FISA Reform Act,Amdmt 1449: Data retention,Amdmt 1450: Extend implementation to 1yr,Amdmt 1451: Gut amicus,Final passage USAF,Sp/co 702 reforms (+4),Massie-Lofgrenamdmt to HR2685: Defund 702 (+3/-3),Massie-Lofgren amdmt on HR4870: No Encryption Backdoors (+3/-3),Total points,Grade,,,
Brian,Babin,House,txbabinbrian.jpg,B001291,,Texas,,,Republican,,,"350 South Bixel Street, Suite 120
Los Angeles, CA 90017",213-481-1425,"34.0569663,-118.2597113",,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,4,C,,,
Tammy,Baldwin,Senate,wibaldwintammy.jpg,B001230,SenatorBaldwin,Wisconsin,(202) 224-5653,http://www.baldwin.senate.gov/contact,Democrat,"633 West Wisconsin Avenue, Suite 1920
Milwaukee, WI 53203",414-297-4451,"43.0388058,-87.9199629","30 West Mifflin Street, Suite 700
Madison, WI 53703",608-264-5338,"43.0751958,-89.3865216","205 5th Avenue South, Room 216
La Crosse, WI 54601",608-796-0045,"43.8109153,-91.2498207","402 Graham Street, Suite 206
Eau Claire, WI 54701",715-832-8424,"44.8094879,-91.4996077","1039 West Mason, Suite 119
Green Bay, WI 54303",n/a,"44.515234,-88.0411938","2100 Stewart Avenue, Suite 250B
Wausau, WI 54401",715-261-2611 ,"44.9591536,-89.6629048",,,,,,,,,0,1,,,3,4,0,0,0,0,0,0,0,0,1,3,0,1,1,1,4,0,0,0,18,A+,,,
Lou,Barletta,House,pabarlettalou.jpg,B001269,RepLouBarletta,Pennsylvania,,,Republican,,,"18 Ninth Street, Suite 201
Columbus, GA 31901",706-320-9477 ,"32.4625698,-84.9922588","Albany Towers, Suite 114
235 Roosevelt Avenue
Albany, GA 31701-2640",229-439-8067 ,"31.581993,-84.152928","City Hall Annex, Suite 302
682 Cherry Street
Macon, GA 31201", 478-803-2631,"32.837156,-83.630497",,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,1,0,-3,-3,-7,D,,,
Andy,Barr,House,kybarrgarland.jpg,B001282,RepAndyBarr,Kentucky,,,Republican,,,"911 North East 11th Avenue, Suite 200
Portland, OR 97232",503-231-2300 ,"45.5292129,-122.6549016",,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,1,0,-3,-3,-7,D,,,
John,Barrasso,Senate,wybarrassojohn.jpg,B001261,SenJohnBarrasso,Wyoming,(202) 224-6441,http://www.barrasso.senate.gov/public/index.cfm/contact-form,Republican,"2 North Main Street, Suite 206
Sheridan, WY 82801",307-672-6456,"44.7974476,-106.9562454","324 East Washington Avenue
Riverton, WY 85201-3458",307-856-6642,"43.0238609,-108.386731","1575 Dewar Drive, Suite 218
Rock Springs, WY 82901",307-362-5012 ,"41.5743565,-109.2423292","2120 Capitol Avenue, Suite 2013
Cheyenne, WY 82001",307-772-2451 ,"41.1375997,-104.8190338","Federal Building, Suite 2201
100 East B Street
Casper, WY 82601-1962",307-261-6413,"42.8520025,-106.325123",,,,,,,,,,,,-,-4,,,0,0,0,0,0,0,0,0,0,0,-4,-3,0,-3,-2,-3,-4,0,0,0,-19,F,,,
Joe,Barton,House,txbartonjoe.jpg,B000213,RepJoeBarton,Texas,,,Republican,,,"7969 Cincinnati-Dayton Road, Suite B
West Chester, OH 45069",513-779-5400 ,"39.353059,-84.395535","12 South Plum Street
Troy, OH 45373",937-339-1524,"40.0401311,-84.2056989","76 East High Street, 3rd Floor
Springfield, OH 45502",937-322-1120 ,"39.9237241,-83.8098054",,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,1,0,3,3,14,A,,,
Karen,Bass,House,cabasskaren.jpg,B001270,RepKarenBass,California,,,Democrat,,,"1300 11th Street, Suite 400
Huntsville, TX 77340",936-439-9532 ,"30.7240052,-95.5535049","200 River Pointe, Suite 304
Conroe, TX 77304-2817",936-441-5700 ,"30.284474,-95.46145",,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,4,0,3,0,0,0,0,0,0,0,4,0,3,3,19,A+,,,
Joyce,Beatty,House,ohbeattyjoyce.jpg,B001281,RepBeatty,Ohio,,,Democrat,,,"01 East Union Street, Suite 202
Jacksonville, FL 32202-3060",904-354-1652 ,"30.3320044,-81.6550267","455 North Garland Avenue
Orlando, FL 32801",407-872-2208 ,"28.5484667,-81.3815073",,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,1,0,3,-3,-1,D+,,,
Xavier,Becerra,House,cabecerraxavier.jpg,B000287,RepBecerra,California,,,Democrat,,,"1350 Edgmont Avenue, Suite 2575
Chester, PA 19013-4403",610-874-7094 ,"39.8579265,-75.3619691","1907-09 South Broad Street
Philadelphia, PA 19148-2216",215-389-4627,"39.9265501,-75.1688524","2630 Memphis Street
Philadelphia, PA 19125-2344",215-426-4616 ,"39.9822807,-75.1199228","2637 East Clearfield Street
Philadelphia, PA 19134",267-519-2252 ,"39.9835893,-75.1053636",,,,,,,,,,,,,,,,,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,1,0,3,3,14,A,,,
Dan,Benishek,House,mibenishekdan.jpg,B001271,CongressmanDan,Michigan,,,Republican,,,"305 Public Square, Suite 212
Franklin, TN 37064",615-591-5161,"35.92508,-86.8691519","7975 Stage Hills Boulevard, Suite 1
Memphis, TN 38133",901-382-5811,"35.2082853,-89.7969646","128 North 2nd Street, Suite 202
Clarksville, TN 37040",931-503-0391,"36.5286115,-87.3593808",,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,1,0,-3,-3,-7,D,,,
Michael,Bennet,Senate,cobennetmichaelf.jpg,B001267,SenBennetCo,Colorado,202-224-5852,http://www.bennet.senate.gov/contact/,Democrat,"1127 Sherman St.
Suite 150
Denver, CO 80203",303-455-7600,"39.734451,-104.985239","129 West B Street
Pueblo, CO 81003",719-542-7550,"38.2628499,-104.616425","609 Main Street
Suite 110
Alamosa, CO 81101",719-587-0096,"37.4683281,-105.8659615","409 North Tejon St.
Suite 107
Colorado Springs, CO 80903",719-328-1100,"38.840011,-104.8228575","1200 South College Ave.
Suite 211
Fort Collins, CO 80524",970-224-2200,"40.5716759,-105.076669","225 North 5th Street
Suite 511
Grand Junction, CO 81501",970-241-6631,"39.0689307,-108.5647858","835 East 2nd Avenue
Suite 206
Durango, CO 81301",970-259-1710,"37.2725981,-107.8799171",,,,,,-,1,,,0,0,0,0,0,0,0,0,0,0,1,3,0,1,1,1,1,0,0,0,8,B,,,
Ami,Bera,House,caberaami.jpg,B001287,RepBera,California,,,Democrat,,,"120 Father Duenas Avenue, Suite 107
Hagatna, GU 98910",671-477-4272,"13.4760084,144.7466326",,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,0,-2,3,0,0,0,0,0,0,0,1,0,-3,3,4,C,,,
Donald,Beyer,House,vabeyerdon.jpg,B001292,,Virginia,,,Democrat,,,"2000 South Stemmons Freeway, Suite 200
Lake Dallas, TX 75065",940-497-5031,"33.1212809,-97.0326539",,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,4,C,,,
Gus,Bilirakis,House,flbilirakisgusmichael.jpg,B001257,RepGusBilirakis,Florida,,,Republican,,,"Federal Building, Suite 1017
324 25th Street
Ogden, UT 84401",801-625-0107 ,"41.2209756,-111.9725867",,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,1,0,3,-3,-1,D+,,,
Mike,Bishop,House,mibishopmike.png,B001293,,Michigan,,,Republican,,,"600 Klosterman Road, Room BB-038
Tarpon Springs, FL 34689-1229",727-940-5860,"28.1461248,-82.7567679","5901 Argerian Drive, Suite 102
Wesley Chapel, FL 33545-4220",813-501-4942,"28.242758,-82.326497","7132 Little Road
New Port Richey, FL 34654",727-232-2921,"28.2611558,-82.6743475",,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,4,C,,,
Rob,Bishop,House,utbishoprob.jpg,B001250,RepRobBishop,Utah,,,Republican,,,"Capital One Tower, Suite 1775
One Lakeshore Drive
Lake Charles, LA 70629",337-433-1747,"30.2300064,-93.2190767","800 LaFayette Street, Suite 1400
Lafayette, LA 70501",337-235-6322,"30.2246992,-92.0213099",,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,4,-2,3,0,0,0,0,0,0,0,1,0,3,3,12,A,,,
Sanford,Bishop,House,gabishopjrsanfordd.jpg,B000490,SanfordBishop,Georgia,,,Democrat,,,"216 NE Nash Street, Suite B
Wilson, NC 27893",252-237-9816 ,"35.728383,-77.9131079","NC Mutual Building, Suite 905
411 West Chapel Hill Street
Durham, NC 27701",(919) 908-0164,"36.4279937,-77.6004203",,,"35.996367,-78.9083576",,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,-2,3,0,0,0,0,0,0,0,1,0,3,3,8,B,,,
Diane,Black,House,tnblackdiane.jpg,B001273,RepDianeBlack,Tennessee,,,Republican,,,"1051 Manatee Avenue West, Suite 305
Bradenton, FL 34205",941-747-9081 ,"27.4946115,-82.572448","111 South Orange Avenue, Floor 2R Suite 202W
Sarasota, FL 34236",941-951-6643,"27.3355077,-82.5383699",,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,4,-2,3,0,0,0,0,0,0,0,1,4,3,3,16,A+,,,
Marsha,Blackburn,House,tnblackburnmarsha.jpg,B001243,MarshaBlackburn,Tennessee,,,Republican,,,"1 South Church Street, Suite 100
Hazleton, PA 18201",570-751-0050 ,"40.9545809,-75.9769782","59 West Louther Street
Carlisle, PA 17013",717-249-0190,"40.203569,-77.190611","4813 Jonestown Road, Suite 101
Harrisburg, PA 17109",717-525-7002 ,"40.3042318,-76.8076698","106 Arch Street
Sunbury, PA 17801",570-988-7801,"40.8643096,-76.7957262",,,,,,,,,,,,,,,,,0,0,0,0,0,0,4,-2,3,0,0,0,0,0,0,0,1,4,3,3,16,A+,,,
Rod,Blum,House,iablumrod.jpg,B001294,,Iowa,,,Republican,,,"4929 Wilshire Boulevard, Suite 650
Los Angeles, CA 90010",323-965-1422 ,"34.0624501,-118.3381332",,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,7,B,,,
Earl,Blumenauer,House,orblumenauerearl.jpg,B000574,BlumenauerMedia,Oregon,,,Democrat,,,"3301 Veterans Drive, Suite 106
Traverse City, MI 49684",877-376-5613,"44.7350653,-85.6357512","500 South Stephenson Avenue, Suite 500
Iron Mountain, MI 49801",906-828-1581,"45.8184584,-88.0657069","1349 South Otsego Avenue, Suite 7A
Gaylord, MI 49735",989-448-8811,"45.0131927,-84.6775978","307 South Front Street, Suite 120
Marquette, MI 49855",906-273-1661 ,"46.5413737,-87.3934181",,,,,,,,,,,,,,,,,0,0,0,0,4,2,4,0,3,0,0,0,0,0,0,0,4,4,3,3,27,A+,,,
Richard,Blumenthal,Senate,ctblumenthalrichard.jpg,B001277,SenBlumenthal,Connecticut,(202) 224-2823,https://www.blumenthal.senate.gov/contact/,Democrat,"90 State House Square
10th Floor
Hartford, CT 06103",(860) 258-6940,"41.7661447,-72.6719347","915 Lafayette Blvd.
Room 230
Bridgeport, CT 06604",(203) 330-0598,"41.1750415,-73.1931719",,,,,,,,,,,,,,,,,,,June 10: politicalpartytime.org/party/39341/,,4,1,,,0,4,0,0,0,0,0,0,0,0,1,3,0,1,1,1,1,0,0,0,12,A,,,
Roy,Blunt,Senate,mobluntroy.jpg,B000575,RoyBlunt,Missouri,202-224-3121,http://www.blunt.senate.gov/public/index.cfm/contact-roy,Republican,"911 Main Street, Suite 2224
Kansas City, MO 64105",816-471-7141,"39.1032362,-94.5827093","2740-B East Sunshine
Springfield, MO 65804-2047",417-877-7814,"37.180415,-93.240439","7700 Bonhomme, #315
Clayton, MO 63105",314-725-4484,"38.647037,-90.335175","2502 Tanner Drive, Suite 208
Cape Girardeau, MO 63703",573-334-7044,"37.3027895,-89.5558871","1001 Cherry Street, Suite 104
Columbia, MO 65201",573-442-8151,"38.950699,-92.326245",,,,,,,,,,,,-,-4,,,0,0,0,0,0,0,0,0,0,0,-4,-3,0,-3,-2,-3,-4,0,0,0,-19,F,,,
John,Boehner,House,ohboehnerjohna.jpg,B000589,SpeakerBoehner,Ohio,,,Republican,,,"29 Taylor Avenue, Suite 201
Crossville, TN 38555",931-854-0069,"35.950367,-85.0273957","321 East Spring Street, Suite 301
Cookeville, TN 38501",931-854-0069 ,"36.1619308,-85.4995519","355 North Belvedere Drive, Suite 308
Gallatin, TN 37066",615-206-8204,"36.3784589,-86.4789823",,,,,,,,,,,,,,,,May 30: http://politicalpartytime.org/party/38875/,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,?,?,,,
Suzanne,Bonamici,House,orbonamicisuzanne.jpg,B001278,RepBonamici,Oregon,,,Democrat,,,"302 Lee Street, Room 86
Decatur, AL 35601",256-355-9400 ,"34.6069291,-86.9848426","2101West Clinton Avenue, Suite 302
Huntsville, AL 35805",256-551-0190,"34.7252007,-86.5977321","102 South Court Street, Suite 310
Florence, AL 35630",256-718-5155,"34.8000958,-87.6758798",,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,4,0,3,0,0,0,0,0,0,0,1,0,3,3,16,A+,,,
Cory,Booker,Senate,njbookercory.jpg,B001288,SenBookerOfc,New Jersey,(202) 224-3224,http://www.booker.senate.gov/?p=contact,Democrat,"One Gateway Center, 23rd Floor
11-43 Raymond Plaza West
Newark, NJ 07102",973-639-8700,"40.7345293,-74.1641904","One Port Center, Suite 505
2 Riverside Drive
Camden, NJ 08101",856-338-8922,"39.9442998,-75.1297521",,,,,,,,,,,,,,,,,,,,,0,1,,,0,0,0,0,0,0,0,0,0,0,1,3,0,1,1,1,1,0,0,0,8,B,,,
John,Boozman,Senate,arboozmanjohn.jpg,B001236,JohnBoozman,Arkansas,(202) 224-4843,http://www.boozman.senate.gov/public/index.cfm/e-mail-me,Republican,"213 West Monroe, Suite N
Lowell, AR 72745",479-725-0400,"36.2541263,-94.1390764","1120 Garrison Avenue, Suite B
Fort Smith, AR 72901",479-573-0189,"35.383512,-94.420331","1001 Highway 62 East, Suite 11
Mountain Home, AR 72653",870-424-0129,"36.3495776,-92.3709329","300 South Church Street, Suite 400
Jonesboro, AR 72401",870-268-6925,"35.840331,-90.703744","620 East 22nd Street, Suite 204
Stuttgart, AR 72160",870-672-6941,"34.478784,-91.5466409","106 West Main Street, Suite 104
El Dorado, AR 71730",870-863-4641,"33.2120063,-92.6639349","1401 West Capitol Avenue, Plaza F
Little Rock, AR 72201",501-372-7153,"34.7495101,-92.3656653",,,,,,-,-4,,,0,0,0,0,0,0,0,0,0,0,-4,-3,0,-3,-2,-3,1,0,0,0,-14,F,,,
Mike,Bost,House,ilbostmike.jpg,B001295,,Illinois,,,Republican,,,"12725 SW Millikan Way, Suite 220
Beaverton, OR 97005",503-469-6010,"45.4901,-122.8079449",,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-3,0,-2,D+,,,
Charles,Boustany,House,laboustanycharlesjr.jpg,B001255,RepBoustany,Louisiana,,,Republican,,,"471 East Broad Street, Suite 1100
Columbus, OH 43215",614-220-0003,"39.963427,-82.9877921",,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,1,0,-3,-3,-7,D,,,
Barbara,Boxer,Senate,caboxerbarbara.jpg,B000711,SenatorBoxer,California,(202) 224-3553,http://www.boxer.senate.gov/contact/,Democrat,"70 Washington Street
Suite 203
Oakland, CA 94607",(510) 286-8537,"37.7953877,-122.2780214","312 N. Spring Street
Suite 1748
Los Angeles, CA 90012",(213) 894-5000,"34.0550562,-118.2413865","501 I Street
Suite 7-600
Sacramento, CA 95814",(916) 448-2787,"38.5834399,-121.4988435","600 B Street
Suite 2240
San Diego, CA 92101",(619) 239-3884,"32.7180266,-117.1586683","2500 Tulare Street
Suite 5290
Fresno, CA 93721",(559) 497-5109,"36.7374775,-119.7836709","3403 10th Street
Suite 704
Riverside, CA 92501",(951) 684-4849,"33.9789413,-117.3725657",,,,,,,,,-,1,,,0,0,0,0,0,0,0,0,0,0,1,3,0,1,1,1,1,0,0,0,8,B,,,
Brendan,Boyle,House,paboylebrendan.jpg,B001296,,Pennsylvania,,,Democrat,,,"2709 Old Rosebud Road
Lexington, KY 40509",859-219-1366 ,"38.0283692,-84.4193845",,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,4,C,,,
Kevin,Brady,House,txbradykevin.jpg,B000755,RepKevinBrady,Texas,,,Democrat,,,"2448 East 81st Street, Suite 5150
Tulsa, OK 74137",918-935-3222 ,"36.0445807,-95.9535553",,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,1,0,3,3,5,C,,,
Robert,Brady,House,pabradyrobert.jpg,B001227,RepBrady,Pennsylvania,,,Republican,,,"11611 North Meridian Street, Suite 415
Carmel, IN 46032",317-848-0201,"39.9569263,-86.1563045","120 East 8th Street, Suite 101
Anderson, IN 46016",765-640-5115 ,"40.108358,-85.677582",,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,1,0,-3,-3,2,C-,,,
David,Brat,House,vabratdavid.jpg,B001290,,Virginia,,,Republican,,,"223 East Thousand Oaks Boulevard, Suite 411
Thousand Oaks, CA 91360",805-379-1779,"34.1795181,-118.8725707","300 East Esplanade Drive, Suite 470
Oxnard, CA 93036",805-379-1779 ,"34.2283264,-119.1744936",,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,7,B,,,
Jim,Bridenstine,House,okbridenstinejim.jpg,B001283,RepJBridenstine,Oklahoma,,,Republican,,,"2401 4th Avenue
Rock Island, IL 61201",309-786-3406 ,"41.508816,-90.5672311","3100 North Knoxville Avenue, Suite 205
Peoria, IL 61603",309-966-1813 ,"40.7252717,-89.5928787","119 North Church Street, Suite 207 and 208
Rockford, IL 61101",815-968-8011 ,"42.2720079,-89.0953444",,,,,,,,,,,,,,,,June 4: http://politicalpartytime.org/party/39331/,,,,0,0,0,0,0,2,4,-2,3,0,0,0,0,0,0,0,1,0,3,3,14,A,,,
Mo,Brooks,House,albrooksmo.jpg,B001274,RepMoBrooks,Alabama,,,Republican,,,"11060 White Rock Road, Suite 180
Rancho Cordova, CA 95670",916-635-0505,"38.5886457,-121.2735978",,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,-2,3,0,0,0,0,0,0,0,4,0,3,3,11,A-,,,
Susan,Brooks,House,inbrookssusan.jpg,B001284,SusanWBrooks,Indiana,,,Republican,,,"1302 North McKenzie Street
Foley, AL 36535",251-943-2073,"30.4214657,-87.6831821","11 North Water Street, Suite 15290
Mobile, AL 36609",251-690-2811,"30.693322,-88.0399294","11 N. Water St.
Ste. 15290
Mobile, AL 36602",251-690-2811,"30.693322,-88.0399294",,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,1,0,-3,-3,-7,D,,,
Corrine,Brown,House,flbrowncorrine.jpg,B000911,RepCorrineBrown,Florida,,,Democrat,,,"4201 Dominion Boulevard, Suite 110
Glen Allen, VA 23060",804-747-4073,"37.6520856,-77.5843182","9104 Courthouse Road, Room 249
Spotsylvania, VA 22553",540-507-7216 ,"38.202087,-77.5893548",,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,-2,3,0,0,0,0,0,0,0,1,0,-3,3,2,C-,,,
